SampleName	TotalReads	UserFilteredReads	VJcombos	aaCDR3	totCDR3	ntCDR3	Median_AAperVJ	Median_VJperAA	H_vj	H_aa	H_tot	H_nt	H_delta	Mean_Haa_perVJ	Mean_Hvj_perAA	Hmax_vj	Hmax_aa	Hmax_tot	Hmax_nt	FiltUnprodAA	FiltNotransAA	FiltUnresolvedVJ	FiltAmbigNT	RefDate	AnalysisNotes
Pt3_pre_S0089487	9341	7688	459	2533	2566	2557	3.0	1.0	7.26077066168	9.15063494281	9.18602868817	9.17718766648	1.92525802648	1.55335847204	0.00461149779274	8.84235034341	11.3066313617	11.3253054551	11.3202364452	48_aaCDR3,65_reads	660_aaCDR3,1588_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:22:31	 TCRseq_sample_report.py Pt3_pre_S0089487.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt5_pre_S0089505	23425	18829	535	5559	5692	5607	6.0	1.0	6.99841763449	9.41617746476	9.467861111	9.56432172438	2.46944347651	2.1743111524	0.0115901355478	9.06339508129	12.4406096667	12.4747199465	12.4530133545	122_aaCDR3,281_reads	1379_aaCDR3,4315_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:25:46	 TCRseq_sample_report.py Pt5_pre_S0089505.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt8_pre_S0087100	110441	92331	609	16904	17464	17160	15.0	1.0	7.44228126761	10.7815167761	10.8388821278	10.8260304953	3.39660086023	2.77145211075	0.0126831941498	9.25029841791	14.0450770519	14.092096415	14.0667619324	403_aaCDR3,1574_reads	4111_aaCDR3,16536_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:31:25	 TCRseq_sample_report.py Pt8_pre_S0087100.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt9_pre_S0089488	4581	3700	411	1659	1665	1671	3.0	1.0	7.58103520217	9.4444490105	9.45409326654	9.45795391659	1.87305806437	1.33248235204	0.001310970376	8.68299458368	10.696098171	10.701306462	10.7064960181	40_aaCDR3,104_reads	445_aaCDR3,777_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:38:29	 TCRseq_sample_report.py Pt9_pre_S0089488.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt10_pre_S0089492	10307	7831	522	4450	4520	4478	5.0	1.0	8.09963289901	11.3550946045	11.3904549486	11.3657432993	3.29082204961	2.1044897751	0.0117602905475	9.02790599657	12.1195896207	12.1421070573	12.1286388129	137_aaCDR3,513_reads	1270_aaCDR3,1963_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:9:45	 TCRseq_sample_report.py Pt10_pre_S0089492.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt11_pre_S0088541	110675	89885	617	16292	16771	16422	13.0	1.0	7.41079601056	10.499922032	10.5548288241	10.5117434285	3.14403281356	2.67712835562	0.0119259060885	9.26912667915	13.991876099	14.0336810942	14.0033422201	386_aaCDR3,1265_reads	4385_aaCDR3,19525_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:10:40	 TCRseq_sample_report.py Pt11_pre_S0088541.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt17_pre_S0089490	893	721	253	448	450	450	1.0	1.0	7.21521767352	8.13485675002	8.14040460023	8.14317852533	0.925186926711	0.561580936931	0.00446428571429	7.98299357469	8.80735492206	8.81378119122	8.81378119122	13_aaCDR3,15_reads	121_aaCDR3,157_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:10:41	 TCRseq_sample_report.py Pt17_pre_S0089490.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt18_pre_S0089499	119530	97278	670	41890	42748	42599	29.0	1.0	8.17536483989	13.7069573039	13.750633972	13.7340073796	5.57526913213	3.9145515116	0.0148341906489	9.38801728535	15.3543182638	15.3835693035	15.3785319435	783_aaCDR3,1453_reads	9247_aaCDR3,20799_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:14:4	 TCRseq_sample_report.py Pt18_pre_S0089499.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt23_pre_S0088546	82551	68155	631	18102	18814	18373	16.0	1.0	8.14661488264	12.0752968449	12.148950735	12.0973157127	4.00233585237	2.96967110737	0.0201164398961	9.30149619498	14.1438614819	14.199518989	14.1652995929	389_aaCDR3,960_reads	4391_aaCDR3,13436_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:17:26	 TCRseq_sample_report.py Pt23_pre_S0088546.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt26_pre_S0088564	16529	14193	527	4870	4953	4899	5.0	1.0	7.2741532837	9.68402747342	9.72596068136	9.69826501417	2.45180739766	2.09720953199	0.00872852825415	9.04165915164	12.249706057	12.2740869056	12.2582715763	77_aaCDR3,177_reads	1025_aaCDR3,2159_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:17:30	 TCRseq_sample_report.py Pt26_pre_S0088564.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt27_pre_S0088551	23360	19185	589	9096	9255	9179	10.0	1.0	8.06516516701	11.6140475347	11.6499795014	11.631025712	3.58481433434	2.79610113226	0.0122742029132	9.20212382383	13.1510165389	13.1760172748	13.1641212734	183_aaCDR3,295_reads	2196_aaCDR3,3880_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:17:54	 TCRseq_sample_report.py Pt27_pre_S0088551.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt28_pre_S0088571	35085	31551	546	6889	7117	6928	8.0	1.0	7.16049242394	9.34752399221	9.42560441324	9.35320883729	2.2651119893	2.24525668285	0.0151814965158	9.09275714092	12.7500788627	12.7970535206	12.7582232147	90_aaCDR3,207_reads	1342_aaCDR3,3327_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:18:8	 TCRseq_sample_report.py Pt28_pre_S0088571.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt30_pre_S0088549	18767	15384	488	3606	3720	3634	4.0	1.0	7.54908147809	9.74879153224	9.79969079486	9.76473998626	2.25060931677	1.6690876585	0.0129088517482	8.93073733756	11.8161836814	11.861086906	11.8273427042	70_aaCDR3,174_reads	855_aaCDR3,3209_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:18:29	 TCRseq_sample_report.py Pt30_pre_S0088549.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt31_pre_S0087101	39814	32458	578	13457	13783	13620	13.0	1.0	7.97540288189	12.3159027085	12.3717189893	12.3385552733	4.39631610743	2.99619993816	0.0153839368536	9.1749256825	13.716069202	13.750602318	13.7334390829	299_aaCDR3,483_reads	3202_aaCDR3,6873_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:21:22	 TCRseq_sample_report.py Pt31_pre_S0087101.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
Pt34_pre_S0088543	130725	104470	621	13977	16122	14150	14.0	1.0	7.83072970459	10.8318968551	11.02164915	10.8476392716	3.1909194454	2.60409799371	0.0602956846948	9.27844945822	13.7707671158	13.9767431067	13.7885144326	390_aaCDR3,3335_reads	4202_aaCDR3,22920_reads	0_aaCDR3,0_reads	0_aaCDR3,0_reads	2016-11-23 16:22:4	 TCRseq_sample_report.py Pt34_pre_S0088543.tsv -t IMSQ -vj -r -aa -nt -cl -ca -ac -j
